feature,coef_mean,coef_p2_5,coef_p97_5,pct_nonzero
age_at_scan,-0.04424225985988279,-0.10170022076436232,0.0042693255081654525,1.0
age_at_onset,-0.09985829354162368,-0.14469839994289121,-0.04858163047538835,1.0
disease_duration,0.061717317573018,-0.0009476224471665153,0.1069400348873579,1.0
disease_duration_to_10,0.11387231513552745,-0.048915629452671,0.17753255447214694,0.9950248756218906
disease_duration_10_up,0.054063060366622354,0.004348062668074104,0.10015516183710117,1.0
sex,0.05352944734457515,-0.0035970155363023518,0.10251208569097199,1.0
GAA1,0.09315924652308585,0.0312921339492487,0.18148460361102367,1.0
GAA2,-0.02947015232741809,-0.0923830949039301,0.0799440929365552,1.0
SCP_v1,-0.06034286085790851,-0.10042275129317299,-0.022411129110933698,1.0
MCP_v1,-0.05292614791153248,-0.07904561104733292,-0.02924037286134824,1.0
ICP_v1,-0.04936745658570807,-0.0884851935724849,-0.011657263993933848,1.0
Midbrain_v1,-0.033010288363553617,-0.0655099084006074,0.007813534710220454,1.0
Pons_v1,-0.04880374352766185,-0.07996073935161885,-0.020446745122610327,1.0
Medulla_v1,-0.04665183348334115,-0.09003115831057533,0.018632216905414473,1.0
AntCBLM_v1,-0.057149915311704394,-0.09902845888950565,0.015076746925003532,1.0
SupPostCBLM_v1,-0.010472310717395591,-0.05757537060062257,0.04576381880415249,1.0
InfPostCBLM_v1,-0.013818404594434647,-0.07526457644568972,0.04947102763040878,1.0
FlocCBLM_v1,-0.008924712934256002,-0.0627715767847556,0.06071588456394257,1.0
VermisCBLM_v1,0.044790921309257194,-0.015627920996086855,0.08038191821326658,1.0
FASCP_v1,-0.10314417901531275,-0.1547051288575887,-0.03286161156550925,1.0
FAMCP_v1,-0.06906323058968347,-0.1327198211890051,-0.0001679406658103149,1.0
FAICP_v1,-0.0022246728756118972,-0.06124944440574992,0.06764910176802985,1.0
MDSCP_v1,0.04435007243184963,-0.0041397137366407585,0.09790196136972923,1.0
MDMCP_v1,0.05720759415789907,0.0002666763103425356,0.10510767655487357,1.0
MDICP_v1,0.036543032020729546,-0.021597147522403083,0.07524553544071842,1.0
ADSCP_v1,0.03925380639960332,-0.012009273755504786,0.0824687281386698,1.0
ADMCP_v1,0.009318958757994277,-0.04647666281047247,0.061076986636922084,1.0
ADICP_v1,-0.008059695964899445,-0.0818021650885543,0.04251774078355966,1.0
RDSCP_v1,0.035988228231663665,-0.009140408189354575,0.09431731824190757,1.0
RDMCP_v1,0.0225582747221266,-0.0181330433902597,0.06658497213643874,1.0
RDICP_v1,0.02423554857619933,-0.05396998077232599,0.06824594755995926,1.0
